SIZE ,STOCK ,COLORSPEC ,COATING ,HANDLE OPTIONS ,RunSize,UnitPrice,TotalPrice
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,With Handle,250,6.2910,"1,572.76"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,With Handle,500,3.8707,"1,935.35"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,With Handle,1000,2.5246,"2,524.56"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,With Handle,2500,1.8220,"4,555.09"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,With Handle,5000,1.2071,"6,035.68"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,No Handle (Tuck Top),250,5.9888,"1,497.21"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,No Handle (Tuck Top),500,3.6864,"1,843.19"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,No Handle (Tuck Top),1000,2.4037,"2,403.69"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,No Handle (Tuck Top),2500,1.7350,"4,337.53"
"3.23"" x 3.23"" x 13.125""",18PT C1S,5/0 (4/0 with Foil on Front),No Coating,No Handle (Tuck Top),5000,1.1497,"5,748.62"
